"yq","bac","age","gender","winter"
1983 Q1,0.23,20,1,0
1983 Q1,0,17,1,0
1983 Q1,0,20,1,0
1983 Q1,0,20,1,0
1983 Q1,0,18,1,0
1983 Q1,0,16,1,0
1983 Q1,0.04,20,1,0
1983 Q1,0.22,19,1,0
1983 Q1,0,20,0,0
1983 Q1,0,20,1,0
1983 Q1,0.07,18,1,0
1983 Q1,0.14,19,1,0
1983 Q1,0,19,1,0
1983 Q1,0,19,1,0
1983 Q1,0.24,17,0,0
1983 Q1,0.13,20,1,0
1983 Q1,0.13,18,0,0
1983 Q1,0.14,16,1,0
1983 Q1,0,18,1,0
1983 Q1,0,18,0,0
1983 Q1,0.03,18,1,0
1983 Q1,0.28,17,1,0
1983 Q1,0.13,17,1,0
1983 Q1,0,18,1,0
1983 Q1,0,19,1,0
1983 Q1,0.16,19,1,0
1983 Q1,0.17,20,0,0
1983 Q1,0,20,0,0
1983 Q1,0.13,15,1,0
1983 Q1,0,18,1,0
1983 Q1,0.06,20,1,0
1983 Q1,0,18,1,0
1983 Q1,0.15,20,1,0
1983 Q1,0,18,1,0
1983 Q1,0,20,1,0
1983 Q1,0,17,1,0
1983 Q1,0,11,1,0
1983 Q1,0.22,18,1,0
1983 Q1,0,17,1,0
1983 Q1,0.1,17,1,0
1983 Q1,0.08,17,0,0
1983 Q1,0.08,16,0,0
1983 Q1,0.04,17,1,0
1983 Q1,0,20,0,0
1983 Q1,0,16,1,0
1983 Q1,0,18,1,0
1983 Q1,0.18,20,1,0
1983 Q1,0.1,20,0,0
1983 Q1,0.12,19,1,0
1983 Q1,0.21,17,0,0
1983 Q1,0.16,18,1,0
1983 Q1,0.01,20,1,0
1983 Q1,0,18,1,0
1983 Q1,0.16,20,1,0
1983 Q1,0.03,19,1,0
1983 Q1,0.22,18,1,0
1983 Q1,0.21,18,1,0
1983 Q1,0.16,19,0,0
1983 Q1,0.22,19,1,0
1983 Q1,0,19,1,0
1983 Q1,0.2,19,1,0
1983 Q1,0.22,18,1,0
1983 Q1,0.14,19,1,0
1983 Q1,0,19,1,0
1983 Q1,0.12,17,1,0
1983 Q1,0,19,1,0
1983 Q1,0.13,17,1,0
1983 Q1,0,17,0,0
1983 Q1,0.07,16,1,0
1983 Q1,0.08,18,0,0
1983 Q1,0.16,20,1,0
1983 Q1,0,14,1,0
1983 Q1,0,19,1,0
1983 Q1,0.14,17,0,0
1983 Q1,0.14,18,0,0
1983 Q1,0,18,1,0
1983 Q1,0.1,17,1,0
1983 Q1,0,18,0,0
1983 Q1,0.19,19,1,0
1983 Q1,0.14,19,1,0
1983 Q1,0,20,1,0
1983 Q1,0.16,19,0,0
1983 Q1,0,20,1,0
