"YEAR"	"QUARTER"	"ID"	"AGE"	"GENDER"	"FATAL"	"LEVEL1"	"LEVEL2"	"LEVEL3"	"LEVEL4"	"LEVEL5"	"LEVEL6"	"LEVEL7"	"LEVEL8"	"LEVEL9"	"LEVEL10"
1983.00	1.00	60003.00	20.00	1.00	0.00	23.00	23.00	23.00	23.00	23.00	23.00	23.00	23.00	23.00	23.00
1983.00	1.00	60008.00	17.00	1.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	4.00	0.00
1983.00	1.00	60030.00	20.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00
1983.00	1.00	60035.00	20.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1983.00	1.00	60039.00	18.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1983.00	1.00	60048.00	16.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00	0.00
1983.00	1.00	60058.00	20.00	1.00	0.00	4.00	11.00	0.00	9.00	16.00	0.00	2.00	0.00	26.00	0.00
1983.00	1.00	60089.00	19.00	1.00	1.00	22.00	22.00	22.00	22.00	22.00	22.00	22.00	22.00	22.00	22.00
1983.00	1.00	60104.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1983.00	1.00	60117.00	20.00	1.00	0.00	0.00	0.00	0.00	8.00	17.00	0.00	0.00	0.00	0.00	0.00
1983.00	1.00	60119.00	18.00	1.00	0.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00
1983.00	1.00	60123.00	19.00	1.00	1.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
1983.00	1.00	60134.00	19.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1983.00	1.00	60139.00	19.00	1.00	0.00	0.00	2.00	0.00	0.00	13.00	20.00	0.00	0.00	0.00	12.00
1983.00	1.00	60148.00	17.00	0.00	1.00	24.00	24.00	24.00	24.00	24.00	24.00	24.00	24.00	24.00	24.00
