"yq","gdp","lag1","lag2"
1947 Q4,6.06552,-0.32868,-0.61348
1948 Q1,6.35664,6.06552,-0.32868
1948 Q2,7.36332,6.35664,6.06552
1948 Q3,2.15044,7.36332,6.35664
1948 Q4,0.61408,2.15044,7.36332
1949 Q1,-5.55468,0.61408,2.15044
1949 Q2,-1.46088,-5.55468,0.61408
1949 Q3,4.48732,-1.46088,-5.55468
1949 Q4,-3.755,4.48732,-1.46088
1950 Q1,16.1678,-3.755,4.48732
1950 Q2,12.1734,16.1678,-3.755
1950 Q3,15.65188,12.1734,16.1678
1950 Q4,7.03772,15.65188,12.1734
1951 Q1,5.055,7.03772,15.65188
1951 Q2,6.63564,5.055,7.03772
1951 Q3,7.97048,6.63564,5.055
1951 Q4,0.67768,7.97048,6.63564
1952 Q1,4.02464,0.67768,7.97048
1952 Q2,0.44112,4.02464,0.67768
1952 Q3,2.67988,0.44112,4.02464
1952 Q4,13.21316,2.67988,0.44112
1953 Q1,7.48408,13.21316,2.67988
1953 Q2,3.02704,7.48408,13.21316
1953 Q3,-2.43204,3.02704,7.48408
1953 Q4,-6.33156,-2.43204,3.02704
1954 Q1,-1.90852,-6.33156,-2.43204
1954 Q2,0.50176,-1.90852,-6.33156
1954 Q3,4.51,0.50176,-1.90852
1954 Q4,8.01008,4.51,0.50176
1955 Q1,11.52228,8.01008,4.51
1955 Q2,6.61716,11.52228,8.01008
1955 Q3,5.34464,6.61716,11.52228
1955 Q4,2.2332,5.34464,6.61716
1956 Q1,-1.82516,2.2332,5.34464
1956 Q2,3.14592,-1.82516,2.2332
1956 Q3,-0.50276,3.14592,-1.82516
1956 Q4,6.53644,-0.50276,3.14592
1957 Q1,2.45824,6.53644,-0.50276
1957 Q2,-0.965,2.45824,6.53644
1957 Q3,3.85336,-0.965,2.45824
1957 Q4,-4.20824,3.85336,-0.965
1958 Q1,-10.8286,-4.20824,3.85336
1958 Q2,2.4552,-10.8286,-4.20824
1958 Q3,9.37268,2.4552,-10.8286
1958 Q4,9.32668,9.37268,2.4552
1959 Q1,8.0906,9.32668,9.37268
1959 Q2,10.10232,8.0906,9.32668
1959 Q3,-0.47688,10.10232,8.0906
1959 Q4,1.40024,-0.47688,10.10232
1960 Q1,8.97528,1.40024,-0.47688
1960 Q2,-1.86944,8.97528,1.40024
1960 Q3,0.65368,-1.86944,8.97528
1960 Q4,-5.12936,0.65368,-1.86944
1961 Q1,2.37608,-5.12936,0.65368
1961 Q2,7.48296,2.37608,-5.12936
1961 Q3,6.46432,7.48296,2.37608
1961 Q4,8.14292,6.46432,7.48296
1962 Q1,7.17448,8.14292,6.46432
1962 Q2,4.4164,7.17448,8.14292
1962 Q3,3.69864,4.4164,7.17448
1962 Q4,0.972,3.69864,4.4164
1963 Q1,5.22796,0.972,3.69864
1963 Q2,5.01228,5.22796,0.972
1963 Q3,7.53164,5.01228,5.22796
1963 Q4,3.04104,7.53164,5.01228
1964 Q1,8.9776,3.04104,7.53164
1964 Q2,4.59416,8.9776,3.04104
1964 Q3,5.43532,4.59416,8.9776
1964 Q4,1.10892,5.43532,4.59416
1965 Q1,9.8246,1.10892,5.43532
1965 Q2,5.42724,9.8246,1.10892
1965 Q3,8.11736,5.42724,9.8246
1965 Q4,9.6504,8.11736,5.42724
1966 Q1,9.81832,9.6504,8.11736
1966 Q2,1.33156,9.81832,9.6504
1966 Q3,2.63076,1.33156,9.81832
1966 Q4,3.24076,2.63076,1.33156
1967 Q1,3.52372,3.24076,2.63076
1967 Q2,0.08328,3.52372,3.24076
1967 Q3,3.19116,0.08328,3.52372
1967 Q4,3.05192,3.19116,0.08328
1968 Q1,8.24352,3.05192,3.19116
1968 Q2,6.79152,8.24352,3.05192
1968 Q3,2.7366,6.79152,8.24352
1968 Q4,1.73316,2.7366,6.79152
1969 Q1,6.29988,1.73316,2.7366
1969 Q2,1.16492,6.29988,1.73316
1969 Q3,2.5296,1.16492,6.29988
1969 Q4,-1.8786,2.5296,1.16492
1970 Q1,-0.62752,-1.8786,2.5296
1970 Q2,0.72508,-0.62752,-1.8786
1970 Q3,3.56168,0.72508,-0.62752
1970 Q4,-4.24168,3.56168,0.72508
1971 Q1,11.0302,-4.24168,3.56168
1971 Q2,2.26912,11.0302,-4.24168
1971 Q3,3.19304,2.26912,11.0302
1971 Q4,1.11152,3.19304,2.26912
1972 Q1,7.15252,1.11152,3.19304
1972 Q2,9.48628,7.15252,1.11152
1972 Q3,3.83344,9.48628,7.15252
1972 Q4,6.5884,3.83344,9.48628
1973 Q1,10.23188,6.5884,3.83344
1973 Q2,4.627,10.23188,6.5884
1973 Q3,-2.13432,4.627,10.23188
1973 Q4,3.81536,-2.13432,4.627
1974 Q1,-3.50756,3.81536,-2.13432
1974 Q2,1.0242,-3.50756,3.81536
1974 Q3,-3.955,1.0242,-3.50756
1974 Q4,-1.57424,-3.955,1.0242
1975 Q1,-4.86532,-1.57424,-3.955
1975 Q2,3.05692,-4.86532,-1.57424
1975 Q3,6.73732,3.05692,-4.86532
1975 Q4,5.2252,6.73732,3.05692
1976 Q1,9.09304,5.2252,6.73732
1976 Q2,3.00816,9.09304,5.2252
1976 Q3,1.95948,3.00816,9.09304
1976 Q4,2.90464,1.95948,3.00816
1977 Q1,4.6432,2.90464,1.95948
1977 Q2,7.94924,4.6432,2.90464
1977 Q3,7.15368,7.94924,4.6432
1977 Q4,-0.08276,7.15368,7.94924
1978 Q1,1.3658,-0.08276,7.15368
1978 Q2,15.73584,1.3658,-0.08276
1978 Q3,3.92156,15.73584,1.3658
1978 Q4,5.29044,3.92156,15.73584
1979 Q1,0.66896,5.29044,3.92156
