"V1" "V2" "V3" "V4" "V5"
"1" 1 1 1 1 1
"2" 1.20118352240500 1.33007180165176 1.40009804747822 1.44762605570885 1.48637133168232
"3" 1.33463154802071 1.45144249061928 1.51928721241854 1.5616402031026 1.60098517400976
"4" 1.60278358498229 1.71540532429753 1.77664199644725 1.81747503765714 1.84236395191781
"5" 2 2 2 2 2
"6" 1.32733472834191 1.45202737376867 1.52151137837365 1.56599686862579 1.59929030602639
"7" 1.45689748377592 1.56966313601632 1.63438972231099 1.67958316640212 1.71314033744604
"8" 1.71665710574435 1.81173991726736 1.87822820786495 1.91685213377009 1.95578705323235
"9" 3 3 3 3 3
"10" 1.39980901370519 1.51596496819252 1.5777769603262 1.61964408132859 1.65193696408468
"11" 1.52070089436881 1.62392699468954 1.68511108210287 1.72494687500901 1.75479367139573
"12" 1.75755512468601 1.84304636528865 1.8985224174487 1.93266735225326 1.97504224155220
"13" 4 4 4 4 4
"14" 1.4473861357302 1.55884781927739 1.61799341571247 1.66333600957988 1.69469339139836
"15" 1.56286101748028 1.66772361411724 1.73043155180022 1.77459168400894 1.80469378754036
"16" 1.80707827930811 1.89839308774356 1.94546389137010 1.980719049623 2.00518170217301
"17" 5 5 5 5 5
"18" 1.48141917725021 1.59000497645809 1.65015038115888 1.69329924730102 1.72338477965102
"19" 1.59359455513774 1.69754969882523 1.75122176222625 1.78778526537271 1.81536069512775
"20" 1.81682400811295 1.91542469845613 1.96296690726605 1.98786917475835 2.01420934793256
"21" 6 6 6 6 6
"22" 1.51695396939538 1.62117402987993 1.68092867944058 1.72053337390930 1.75324909132194
"23" 1.62523006269143 1.72355459076992 1.78335204336667 1.8227705608753 1.85235882495424
"24" 1.85524154016218 1.96065535219233 2.00691662304238 2.03782558698099 2.06846861932186
"25" 7 7 7 7 7
"26" 1.54072971609385 1.64625617067993 1.70595989458842 1.75126311611039 1.78287935942465
"27" 1.65030312793673 1.75509764226998 1.81339187314786 1.85220127337949 1.88025307206303
"28" 1.88273281537594 1.96655030143731 2.01605120487113 2.05161483318894 2.0810187255521
"29" 8 8 8 8 8
"30" 1.56100398744796 1.66930330052379 1.72334435715894 1.76178503947113 1.79125788923197
"31" 1.67257916347386 1.76536091993368 1.82118089477938 1.85457868946246 1.88291310812084
"32" 1.88506932861117 1.96936909602807 2.01352368233529 2.04877528504409 2.07681366096703
"33" 9 9 9 9 9
"34" 1.57825098589223 1.68309080567377 1.74175730256902 1.78113738680022 1.81593371901034
"35" 1.68657626321648 1.78511782633715 1.84299813064978 1.88112144230842 1.91411824250877
"36" 1.91756133642092 2.00738098059921 2.05835914655731 2.09706585950104 2.12553676768581
"37" 10 10 10 10 10
"38" 1.59393711277223 1.7020440576876 1.75666016417093 1.79672168288073 1.82747503741602
"39" 1.70571634727584 1.80122866385024 1.85231680226635 1.88973002335688 1.92104713454282
"40" 1.92242184735989 1.99924493276200 2.05179740703145 2.08385978775968 2.10558745584374
